01-01-2000 09:20:18 RAM 11706/30991MB (lfb 2426x4MB) SWAP 0/15495MB (cached 0MB) CPU [15%@2256,12%@2257,9%@2257,6%@2255,10%@2255,11%@2252,100%@2256,5%@2254] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50.5C thermal@48.55C Tboard@47C AO@46.5C GPU@47.5C Tdiode@52.5C PMIC@50C GPU 616mW/615mW CPU 3389mW/5559mW SOC 2926mW/2812mW CV 0mW/0mW VDDRQ 616mW/650mW SYS5V 3702mW/3685mW
01-01-2000 09:20:19 RAM 11729/30991MB (lfb 2426x4MB) SWAP 0/15495MB (cached 0MB) CPU [13%@2252,8%@2247,10%@2255,6%@2252,6%@2253,7%@2253,100%@2252,7%@2253] EMC_FREQ 3%@2133 GR3D_FREQ 24%@[318] VIC_FREQ 1036 APE 150 AUX@47C CPU@50C thermal@48.25C Tboard@47C AO@46.5C GPU@47.5C Tdiode@52.5C PMIC@50C GPU 616mW/615mW CPU 3543mW/5472mW SOC 2772mW/2810mW CV 0mW/0mW VDDRQ 616mW/649mW SYS5V 3662mW/3684mW
01-01-2000 09:20:20 RAM 11752/30991MB (lfb 2426x4MB) SWAP 0/15495MB (cached 0MB) CPU [15%@2253,11%@2251,8%@2251,8%@2253,7%@2252,7%@2253,100%@2261,4%@2255] EMC_FREQ 2%@2133 GR3D_FREQ 2%@[318] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50C thermal@48.4C Tboard@47C AO@46.5C GPU@48C Tdiode@52.75C PMIC@50C GPU 616mW/615mW CPU 3543mW/5391mW SOC 2772mW/2808mW CV 0mW/0mW VDDRQ 616mW/647mW SYS5V 3662mW/3683mW
01-01-2000 09:20:21 RAM 11777/30991MB (lfb 2422x4MB) SWAP 0/15495MB (cached 0MB) CPU [16%@2252,16%@2251,4%@2253,8%@2254,6%@2254,5%@2254,100%@2254,6%@2251] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50C thermal@48.25C Tboard@47C AO@46.5C GPU@47.5C Tdiode@52.5C PMIC@50C GPU 616mW/615mW CPU 3697mW/5324mW SOC 2771mW/2807mW CV 0mW/0mW VDDRQ 616mW/646mW SYS5V 3662mW/3682mW
01-01-2000 09:20:22 RAM 11789/30991MB (lfb 2422x4MB) SWAP 0/15495MB (cached 0MB) CPU [14%@2251,16%@2252,7%@2253,9%@2253,8%@2251,8%@2253,100%@2252,3%@2252] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47C CPU@50C thermal@48.4C Tboard@47C AO@46.5C GPU@47.5C Tdiode@52.5C PMIC@50C GPU 616mW/615mW CPU 3541mW/5255mW SOC 2925mW/2811mW CV 0mW/0mW VDDRQ 770mW/651mW SYS5V 3741mW/3684mW
01-01-2000 09:20:24 RAM 11795/30991MB (lfb 2422x4MB) SWAP 0/15495MB (cached 0MB) CPU [24%@2254,16%@2253,5%@2255,8%@2254,6%@2254,4%@2249,100%@2255,4%@2251] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47C CPU@50C thermal@48.05C Tboard@47C AO@46C GPU@47.5C Tdiode@52.5C PMIC@50C GPU 616mW/615mW CPU 3389mW/5186mW SOC 2772mW/2810mW CV 0mW/0mW VDDRQ 616mW/649mW SYS5V 3702mW/3685mW
01-01-2000 09:20:25 RAM 11816/30991MB (lfb 2422x4MB) SWAP 0/15495MB (cached 0MB) CPU [17%@2257,15%@2256,6%@2258,8%@2255,7%@2253,7%@2250,100%@2253,5%@2252] EMC_FREQ 3%@2133 GR3D_FREQ 9%@[318] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50C thermal@47.9C Tboard@47C AO@46.5C GPU@47.5C Tdiode@52.5C PMIC@50C GPU 616mW/615mW CPU 3543mW/5127mW SOC 2772mW/2809mW CV 0mW/0mW VDDRQ 616mW/648mW SYS5V 3662mW/3684mW
01-01-2000 09:20:26 RAM 11845/30991MB (lfb 2422x4MB) SWAP 0/15495MB (cached 0MB) CPU [16%@2251,15%@2252,8%@2251,5%@2253,8%@2250,7%@2254,100%@2251,7%@2253] EMC_FREQ 2%@2133 GR3D_FREQ 14%@[318] VIC_FREQ 1036 APE 150 AUX@47C CPU@49.5C thermal@48.05C Tboard@47C AO@46C GPU@47.5C Tdiode@52.25C PMIC@50C GPU 616mW/615mW CPU 3543mW/5073mW SOC 2772mW/2807mW CV 0mW/0mW VDDRQ 616mW/647mW SYS5V 3662mW/3683mW
01-01-2000 09:20:27 RAM 11879/30991MB (lfb 2422x4MB) SWAP 0/15495MB (cached 0MB) CPU [19%@2256,14%@2255,9%@2253,7%@2252,93%@2255,6%@2249,10%@2253,6%@2252] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47C CPU@49.5C thermal@47.9C Tboard@47C AO@46C GPU@47C Tdiode@52.25C PMIC@50C GPU 616mW/615mW CPU 3695mW/5027mW SOC 2771mW/2806mW CV 0mW/0mW VDDRQ 616mW/646mW SYS5V 3702mW/3684mW
01-01-2000 09:20:28 RAM 11867/30991MB (lfb 2422x4MB) SWAP 0/15495MB (cached 0MB) CPU [19%@2254,21%@2250,5%@2252,6%@2254,100%@2253,4%@2253,4%@2249,7%@2254] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47C CPU@49C thermal@47.9C Tboard@47C AO@46C GPU@47C Tdiode@52C PMIC@50C GPU 616mW/615mW CPU 3543mW/4979mW SOC 2771mW/2805mW CV 0mW/0mW VDDRQ 616mW/645mW SYS5V 3702mW/3685mW
01-01-2000 09:20:29 RAM 11891/30991MB (lfb 2422x4MB) SWAP 0/15495MB (cached 0MB) CPU [20%@2253,16%@2251,6%@2256,8%@2256,100%@2255,4%@2255,7%@2253,6%@2255] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47C CPU@49.5C thermal@47.75C Tboard@47C AO@46C GPU@47C Tdiode@52C PMIC@50C GPU 616mW/615mW CPU 3695mW/4939mW SOC 2925mW/2809mW CV 0mW/0mW VDDRQ 770mW/649mW SYS5V 3781mW/3688mW
01-01-2000 09:20:30 RAM 11902/30991MB (lfb 2422x4MB) SWAP 0/15495MB (cached 0MB) CPU [22%@2253,14%@2253,5%@2253,4%@2254,100%@2253,10%@2253,10%@2255,9%@2253] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47C CPU@49.5C thermal@47.75C Tboard@47C AO@46C GPU@47C Tdiode@52C PMIC@50C GPU 616mW/615mW CPU 3695mW/4901mW SOC 2925mW/2812mW CV 0mW/0mW VDDRQ 770mW/653mW SYS5V 3741mW/3689mW
01-01-2000 09:20:31 RAM 11902/30991MB (lfb 2422x4MB) SWAP 0/15495MB (cached 0MB) CPU [17%@2256,16%@2252,7%@2256,4%@2255,100%@2256,9%@2256,6%@2255,3%@2255] EMC_FREQ 3%@2133 GR3D_FREQ 45%@[318] VIC_FREQ 1036 APE 150 AUX@47C CPU@49.5C thermal@47.9C Tboard@47C AO@46C GPU@47C Tdiode@52C PMIC@50C GPU 616mW/615mW CPU 3849mW/4870mW SOC 2771mW/2811mW CV 0mW/0mW VDDRQ 616mW/652mW SYS5V 3702mW/3690mW
01-01-2000 09:20:32 RAM 11902/30991MB (lfb 2418x4MB) SWAP 0/15495MB (cached 0MB) CPU [19%@2256,14%@2258,11%@2257,12%@2257,100%@2257,10%@2257,6%@2257,9%@2257] EMC_FREQ 3%@2133 GR3D_FREQ 50%@[318] VIC_FREQ 1036 APE 150 AUX@47C CPU@49.5C thermal@47.75C Tboard@47C AO@46C GPU@47C Tdiode@52C PMIC@50C GPU 616mW/615mW CPU 4157mW/4850mW SOC 2771mW/2810mW CV 0mW/0mW VDDRQ 616mW/651mW SYS5V 3702mW/3690mW
01-01-2000 09:20:33 RAM 11851/30991MB (lfb 2418x4MB) SWAP 0/15495MB (cached 0MB) CPU [15%@2254,5%@2252,10%@2253,13%@2254,100%@2260,4%@2255,5%@2255,4%@2253] EMC_FREQ 3%@2133 GR3D_FREQ 44%@[318] VIC_FREQ 1036 APE 150 AUX@47C CPU@49.5C thermal@47.6C Tboard@47C AO@46C GPU@47C Tdiode@52C PMIC@50C GPU 616mW/615mW CPU 4157mW/4830mW SOC 2771mW/2809mW CV 0mW/0mW VDDRQ 616mW/650mW SYS5V 3662mW/3689mW
01-01-2000 09:20:34 RAM 11865/30991MB (lfb 2418x4MB) SWAP 0/15495MB (cached 0MB) CPU [16%@2257,13%@2252,6%@2252,11%@2255,100%@2255,8%@2253,4%@2253,5%@2254] EMC_FREQ 2%@2133 GR3D_FREQ 4%@[318] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@49C thermal@47.4C Tboard@47C AO@46C GPU@47C Tdiode@52C PMIC@50C GPU 616mW/615mW CPU 3849mW/4804mW SOC 2771mW/2808mW CV 0mW/0mW VDDRQ 616mW/649mW SYS5V 3662mW/3688mW
01-01-2000 09:20:35 RAM 11877/30991MB (lfb 2418x4MB) SWAP 0/15495MB (cached 0MB) CPU [18%@2259,15%@2255,9%@2253,4%@2254,100%@2254,9%@2252,7%@2253,6%@2253] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47C CPU@49C thermal@47.4C Tboard@47C AO@46C GPU@47C Tdiode@52C PMIC@50C GPU 616mW/615mW CPU 3849mW/4779mW SOC 2771mW/2807mW CV 0mW/0mW VDDRQ 616mW/648mW SYS5V 3662mW/3688mW
01-01-2000 09:20:36 RAM 11889/30991MB (lfb 2418x4MB) SWAP 0/15495MB (cached 0MB) CPU [14%@2255,4%@2254,11%@2255,10%@2254,100%@2254,5%@2254,6%@2249,6%@2254] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@49C thermal@47.4C Tboard@47C AO@46C GPU@47C Tdiode@52C PMIC@50C GPU 616mW/615mW CPU 3851mW/4755mW SOC 2771mW/2806mW CV 0mW/0mW VDDRQ 616mW/647mW SYS5V 3662mW/3687mW
01-01-2000 09:20:37 RAM 11900/30991MB (lfb 2418x4MB) SWAP 0/15495MB (cached 0MB) CPU [18%@2254,20%@2254,4%@2252,4%@2251,100%@2258,6%@2255,6%@2256,5%@2252] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@49C thermal@47.4C Tboard@47C AO@46C GPU@47C Tdiode@51.75C PMIC@50C GPU 616mW/615mW CPU 3849mW/4732mW SOC 2771mW/2805mW CV 0mW/0mW VDDRQ 616mW/646mW SYS5V 3702mW/3687mW
01-01-2000 09:20:38 RAM 11912/30991MB (lfb 2418x4MB) SWAP 0/15495MB (cached 0MB) CPU [14%@2255,12%@2253,9%@2259,4%@2253,100%@2254,3%@2251,6%@2250,7%@2251] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@49C thermal@47.6C Tboard@47C AO@45.5C GPU@47C Tdiode@52C PMIC@50C GPU 616mW/615mW CPU 3851mW/4711mW SOC 2771mW/2804mW CV 0mW/0mW VDDRQ 616mW/645mW SYS5V 3702mW/3688mW
01-01-2000 09:20:39 RAM 11926/30991MB (lfb 2418x4MB) SWAP 0/15495MB (cached 0MB) CPU [18%@2253,12%@2255,5%@2251,9%@2254,100%@2252,4%@2253,9%@2254,7%@2253] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@49C thermal@47.4C Tboard@47C AO@45.5C GPU@47C Tdiode@51.75C PMIC@50C GPU 616mW/615mW CPU 3697mW/4687mW SOC 2771mW/2803mW CV 0mW/0mW VDDRQ 616mW/645mW SYS5V 3702mW/3688mW
01-01-2000 09:20:40 RAM 11929/30991MB (lfb 2418x4MB) SWAP 0/15495MB (cached 0MB) CPU [20%@2254,15%@2255,8%@2254,5%@2252,100%@2252,4%@2254,7%@2254,7%@2253] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@49C thermal@47.4C Tboard@47C AO@45.5C GPU@47C Tdiode@52C PMIC@50C GPU 616mW/615mW CPU 3849mW/4667mW SOC 2925mW/2806mW CV 0mW/0mW VDDRQ 770mW/648mW SYS5V 3781mW/3690mW
01-01-2000 09:20:41 RAM 11931/30991MB (lfb 2418x4MB) SWAP 0/15495MB (cached 0MB) CPU [18%@2253,11%@2253,4%@2254,11%@2250,100%@2251,2%@2254,5%@2252,8%@2256] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@49C thermal@47.4C Tboard@47C AO@46C GPU@47C Tdiode@51.75C PMIC@50C GPU 616mW/615mW CPU 3389mW/4638mW SOC 2926mW/2809mW CV 0mW/0mW VDDRQ 616mW/647mW SYS5V 3741mW/3691mW
01-01-2000 09:20:42 RAM 11935/30991MB (lfb 2414x4MB) SWAP 0/15495MB (cached 0MB) CPU [28%@2251,10%@2256,12%@2255,7%@2253,100%@2256,6%@2252,7%@2250,4%@2253] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@49C thermal@47.4C Tboard@47C AO@46C GPU@47C Tdiode@52C PMIC@50C GPU 616mW/615mW CPU 4003mW/4624mW SOC 2771mW/2808mW CV 0mW/0mW VDDRQ 616mW/646mW SYS5V 3702mW/3692mW
01-01-2000 09:20:43 RAM 11937/30991MB (lfb 2414x4MB) SWAP 0/15495MB (cached 0MB) CPU [20%@2255,13%@2253,5%@2249,4%@2251,100%@2254,3%@2251,7%@2258,8%@2253] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@49C thermal@47.4C Tboard@47C AO@46C GPU@47C Tdiode@51.75C PMIC@50C GPU 616mW/615mW CPU 3543mW/4600mW SOC 2772mW/2807mW CV 0mW/0mW VDDRQ 616mW/645mW SYS5V 3662mW/3691mW
01-01-2000 09:20:44 RAM 11939/30991MB (lfb 2414x4MB) SWAP 0/15495MB (cached 0MB) CPU [15%@2254,16%@2253,8%@2254,9%@2255,100%@2255,6%@2258,8%@2255,8%@2255] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@49C thermal@47.4C Tboard@47C AO@45.5C GPU@47C Tdiode@51.75C PMIC@50C GPU 616mW/615mW CPU 3697mW/4581mW SOC 2772mW/2806mW CV 0mW/0mW VDDRQ 616mW/645mW SYS5V 3662mW/3690mW
01-01-2000 09:20:45 RAM 11941/30991MB (lfb 2414x4MB) SWAP 0/15495MB (cached 0MB) CPU [16%@2253,17%@2253,5%@2253,8%@2254,100%@2255,5%@2251,9%@2256,8%@2253] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47C CPU@49C thermal@47.4C Tboard@47C AO@45.5C GPU@47C Tdiode@51.75C PMIC@50C GPU 616mW/615mW CPU 3543mW/4559mW SOC 2772mW/2806mW CV 0mW/0mW VDDRQ 616mW/644mW SYS5V 3662mW/3690mW
