01-01-2000 09:08:02 RAM 11717/30991MB (lfb 2655x4MB) SWAP 0/15495MB (cached 0MB) CPU [19%@2259,7%@2250,8%@2252,4%@2253,100%@2253,8%@2252,10%@2251,10%@2253] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@49.5C thermal@48.25C Tboard@47C AO@46.5C GPU@48C Tdiode@52.5C PMIC@50C GPU 616mW/615mW CPU 3389mW/5159mW SOC 2926mW/2771mW CV 0mW/0mW VDDRQ 770mW/638mW SYS5V 3741mW/3672mW
01-01-2000 09:08:03 RAM 11735/30991MB (lfb 2655x4MB) SWAP 0/15495MB (cached 0MB) CPU [23%@2253,6%@2254,17%@2252,5%@2254,87%@2254,4%@2251,9%@2255,7%@2255] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@49.5C thermal@48.55C Tboard@47C AO@46.5C GPU@47.5C Tdiode@52.5C PMIC@50C GPU 616mW/615mW CPU 3543mW/5101mW SOC 2772mW/2771mW CV 0mW/0mW VDDRQ 616mW/637mW SYS5V 3662mW/3671mW
01-01-2000 09:08:04 RAM 11761/30991MB (lfb 2655x4MB) SWAP 0/15495MB (cached 0MB) CPU [18%@2256,11%@2255,100%@2255,5%@2253,4%@2255,2%@2254,6%@2253,8%@2255] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50C thermal@48.2C Tboard@47C AO@46C GPU@47.5C Tdiode@52.5C PMIC@50C GPU 616mW/615mW CPU 3543mW/5047mW SOC 2772mW/2771mW CV 0mW/0mW VDDRQ 616mW/637mW SYS5V 3662mW/3671mW
01-01-2000 09:08:05 RAM 11802/30991MB (lfb 2655x4MB) SWAP 0/15495MB (cached 0MB) CPU [16%@2255,13%@2255,61%@2252,24%@2252,9%@2254,9%@2254,28%@2253,6%@2250] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50C thermal@47.9C Tboard@47C AO@46.5C GPU@47.5C Tdiode@52.75C PMIC@50C GPU 616mW/615mW CPU 3543mW/4997mW SOC 2772mW/2771mW CV 0mW/0mW VDDRQ 616mW/636mW SYS5V 3662mW/3671mW
01-01-2000 09:08:07 RAM 11775/30991MB (lfb 2655x4MB) SWAP 0/15495MB (cached 0MB) CPU [13%@2252,9%@2251,8%@2251,100%@2254,10%@2251,10%@2254,2%@2251,5%@2255] EMC_FREQ 3%@2133 GR3D_FREQ 32%@[318] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50C thermal@48.1C Tboard@47C AO@46.5C GPU@48C Tdiode@52.5C PMIC@50C GPU 616mW/615mW CPU 3543mW/4950mW SOC 2772mW/2771mW CV 0mW/0mW VDDRQ 616mW/635mW SYS5V 3662mW/3670mW
01-01-2000 09:08:08 RAM 11819/30991MB (lfb 2655x4MB) SWAP 0/15495MB (cached 0MB) CPU [15%@2253,9%@2254,6%@2254,100%@2257,11%@2253,10%@2252,7%@2253,4%@2258] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50C thermal@48.25C Tboard@47C AO@46.5C GPU@48C Tdiode@52.5C PMIC@50C GPU 616mW/615mW CPU 3543mW/4906mW SOC 2926mW/2776mW CV 0mW/0mW VDDRQ 770mW/639mW SYS5V 3741mW/3673mW
01-01-2000 09:08:09 RAM 11821/30991MB (lfb 2655x4MB) SWAP 0/15495MB (cached 0MB) CPU [18%@2253,11%@2248,3%@2252,100%@2250,7%@2253,5%@2249,9%@2251,7%@2251] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50C thermal@48.4C Tboard@47C AO@46C GPU@47.5C Tdiode@52.75C PMIC@50C GPU 616mW/615mW CPU 3080mW/4851mW SOC 2926mW/2780mW CV 0mW/0mW VDDRQ 770mW/643mW SYS5V 3741mW/3675mW
01-01-2000 09:08:10 RAM 11830/30991MB (lfb 2655x4MB) SWAP 0/15495MB (cached 0MB) CPU [20%@2253,14%@2253,1%@2251,100%@2256,9%@2251,9%@2253,8%@2251,2%@2251] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50C thermal@48.1C Tboard@47C AO@46.5C GPU@47.5C Tdiode@52.5C PMIC@50C GPU 616mW/615mW CPU 4005mW/4826mW SOC 2771mW/2780mW CV 0mW/0mW VDDRQ 616mW/642mW SYS5V 3702mW/3676mW
01-01-2000 09:08:11 RAM 11830/30991MB (lfb 2655x4MB) SWAP 0/15495MB (cached 0MB) CPU [16%@2255,12%@2253,10%@2254,100%@2252,8%@2255,6%@2249,3%@2254,5%@2251] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50C thermal@48.25C Tboard@47C AO@46.5C GPU@48C Tdiode@52.75C PMIC@50C GPU 616mW/615mW CPU 3697mW/4794mW SOC 2772mW/2780mW CV 0mW/0mW VDDRQ 616mW/642mW SYS5V 3662mW/3675mW
01-01-2000 09:08:12 RAM 11776/30991MB (lfb 2655x4MB) SWAP 0/15495MB (cached 0MB) CPU [16%@2251,10%@2251,5%@2253,100%@2250,6%@2251,14%@2251,9%@2249,9%@2253] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[318] VIC_FREQ 1036 APE 150 AUX@47.5C CPU@50C thermal@48.4C Tboard@47C AO@46.5C GPU@48C Tdiode@52.5C PMIC@50C GPU 616mW/615mW CPU 3697mW/4763mW SOC 2772mW/2779mW CV 0mW/0mW VDDRQ 616mW/641mW SYS5V 3662mW/3675mW
